,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,Attendance,Time
84,1993-09-18,Coventry,Chelsea,1.0,1.0,D,,,,,,,
85,1993-09-18,Blackburn,West Ham,0.0,2.0,A,,,,,,,
86,1993-09-19,Man United,Arsenal,1.0,0.0,H,,,,,,,
87,1993-09-20,Wimbledon,Man City,1.0,0.0,H,,,,,,,
88,1993-09-25,Oldham,Aston Villa,1.0,1.0,D,,,,,,,
89,1993-09-25,Newcastle,West Ham,2.0,0.0,H,,,,,,,
90,1993-09-25,Man United,Swindon,4.0,2.0,H,,,,,,,
91,1993-09-25,Everton,Norwich,1.0,5.0,A,,,,,,,
92,1993-09-25,Sheffield United,Man City,0.0,1.0,A,,,,,,,
93,1993-09-25,Chelsea,Liverpool,1.0,0.0,H,,,,,,,
94,1993-09-25,Blackburn,Sheffield Weds,1.0,1.0,D,,,,,,,
95,1993-09-25,Arsenal,Southampton,1.0,0.0,H,,,,,,,
96,1993-09-25,Coventry,Leeds,0.0,2.0,A,,,,,,,
97,1993-09-26,Ipswich,Tottenham,2.0,2.0,D,,,,,,,
98,1993-09-27,Wimbledon,QPR,1.0,1.0,D,,,,,,,
99,1993-10-02,Aston Villa,Newcastle,0.0,2.0,A,,,,,,,
100,1993-10-02,Leeds,Wimbledon,4.0,0.0,H,,,,,,,
101,1993-10-02,Liverpool,Arsenal,0.0,0.0,D,,,,,,,
102,1993-10-02,Norwich,Coventry,1.0,0.0,H,,,,,,,
103,1993-10-02,QPR,Ipswich,3.0,0.0,H,,,,,,,
104,1993-10-02,Sheffield Weds,Man United,2.0,3.0,A,,,,,,,
105,1993-10-02,Southampton,Sheffield United,3.0,3.0,D,,,,,,,
106,1993-10-02,Swindon,Blackburn,1.0,3.0,A,,,,,,,
107,1993-10-02,West Ham,Chelsea,1.0,0.0,H,,,,,,,
108,1993-10-03,Tottenham,Everton,3.0,2.0,H,,,,,,,
109,1993-10-04,Man City,Oldham,1.0,1.0,D,,,,,,,
110,1993-10-16,West Ham,Aston Villa,0.0,0.0,D,,,,,,,
111,1993-10-16,Swindon,Everton,1.0,1.0,D,,,,,,,
112,1993-10-16,Sheffield Weds,Wimbledon,2.0,2.0,D,,,,,,,
113,1993-10-16,Newcastle,QPR,1.0,2.0,A,,,,,,,
114,1993-10-16,Chelsea,Norwich,1.0,2.0,A,,,,,,,
115,1993-10-16,Liverpool,Oldham,2.0,1.0,H,,,,,,,
116,1993-10-16,Coventry,Southampton,1.0,1.0,D,,,,,,,
117,1993-10-16,Arsenal,Man City,0.0,0.0,D,,,,,,,
118,1993-10-16,Man United,Tottenham,2.0,1.0,H,,,,,,,
119,1993-10-17,Ipswich,Leeds,0.0,0.0,D,,,,,,,
120,1993-10-18,Blackburn,Sheffield United,0.0,0.0,D,,,,,,,
121,1993-10-23,QPR,Coventry,5.0,1.0,H,,,,,,,
122,1993-10-23,Tottenham,Swindon,1.0,1.0,D,,,,,,,
123,1993-10-23,Sheffield United,Sheffield Weds,1.0,1.0,D,,,,,,,
124,1993-10-23,Oldham,Arsenal,0.0,0.0,D,,,,,,,
125,1993-10-23,Everton,Man United,0.0,1.0,A,,,,,,,
126,1993-10-23,Man City,Liverpool,1.0,1.0,D,,,,,,,
127,1993-10-23,Leeds,Blackburn,3.0,3.0,D,,,,,,,
128,1993-10-23,Aston Villa,Chelsea,1.0,0.0,H,,,,,,,
129,1993-10-23,Norwich,West Ham,0.0,0.0,D,,,,,,,
130,1993-10-24,Southampton,Newcastle,2.0,1.0,H,,,,,,,
131,1993-10-25,Wimbledon,Ipswich,0.0,2.0,A,,,,,,,
132,1993-10-30,Swindon,Aston Villa,1.0,2.0,A,,,,,,,
133,1993-10-30,Sheffield Weds,Leeds,3.0,3.0,D,,,,,,,
134,1993-10-30,Newcastle,Wimbledon,4.0,0.0,H,,,,,,,
135,1993-10-30,Man United,QPR,2.0,1.0,H,,,,,,,
136,1993-10-30,Liverpool,Southampton,4.0,2.0,H,,,,,,,
137,1993-10-30,Chelsea,Oldham,0.0,1.0,A,,,,,,,
138,1993-10-30,Blackburn,Tottenham,1.0,0.0,H,,,,,,,
139,1993-10-30,Arsenal,Norwich,0.0,0.0,D,,,,,,,
140,1993-10-30,Ipswich,Everton,0.0,2.0,A,,,,,,,
141,1993-10-31,Coventry,Sheffield United,0.0,0.0,D,,,,,,,
142,1993-11-01,West Ham,Man City,3.0,1.0,H,,,,,,,
143,1993-11-06,Sheffield United,Norwich,1.0,2.0,A,,,,,,,
144,1993-11-06,Wimbledon,Swindon,3.0,0.0,H,,,,,,,
145,1993-11-06,Southampton,Tottenham,1.0,0.0,H,,,,,,,
146,1993-11-06,QPR,Blackburn,1.0,0.0,H,,,,,,,
147,1993-11-06,Liverpool,West Ham,2.0,0.0,H,,,,,,,
